,previousClose,regularMarketOpen,twoHundredDayAverage,regularMarketDayHigh,regularMarketPreviousClose,fiftyDayAverage,open,beta,regularMarketDayLow,trailingPE,priceToSalesTrailing12Months,dayLow,ask,fiftyTwoWeekHigh,fiftyTwoWeekLow,bid,dayHigh,enterpriseToRevenue,profitMargins,bookValue,sharesPercentSharesOut,heldPercentInstitutions,trailingEps,priceToBook,heldPercentInsiders,shortRatio,earningsQuarterlyGrowth,shortPercentOfFloat,regularMarketPrice,forwardPE,enterpriseToEbitda,forwardEps,pegRatio,trailingAnnualDividendYield,trailingAnnualDividendRate,payoutRatio,dividendRate,fiveYearAvgDividendYield,dividendYield
BBIO,38.46,38.98,29.681215,42.62,38.46,30.491142,38.98,,38.33,,127.2794,38.33,,48.36,14.23,,42.62,93.85,,3.918,0.0923,0.96074,-4.729,10.768249,0.12478,31.7,,0.2206,38.98,-17.87712,,-2.36,0.15,,,,,,
ZG,95.97,,57.754642,97.695,95.97,81.89657,,1.356744,92.85,,6.058799,92.85,96.8,97.7,18.65,,97.695,5.039,-0.11542,17.798,0.0068,0.98767996,-1.957,5.355096,0.035469998,2.12,,0.043,,-1058.9999,-104.332,-0.09,11.42,,,,,,
MRLN,8.29,8.38,8.2635,8.38,8.29,7.2491426,8.38,0.712374,7.86,,1.4173347,7.86,8.24,25.44,4.66,7.92,8.38,-1.154,-0.02772,15.36,0.0117,0.88953,-0.172,0.5136719,0.06927,2.37,,0.0167,8.38,5.8880596,,1.34,-0.48,0.06755127,0.56,,0.56,,0.0683
KRTX,86.92,87.86,84.87914,87.86,86.92,80.968,87.86,,82.15,,,82.15,84.79,,11.24,76.25,87.86,,,6.942,0.0552,0.6353,-1.901,12.201095,0.21173,9.61,,0.122700006,87.86,-30.25,-35.527,-2.8,,,,,,,
PLAB,10.07,10.16,11.1505,10.34,10.07,10.690572,10.16,0.797658,9.945,17.99115,1.0823945,9.945,10.75,16.75,8.31,8.91,10.34,0.895,0.060100004,12.193,0.0219,0.93841004,0.565,0.8336751,0.0335,3.22,0.698,0.026700001,10.16,12.396341,3.344,0.82,1.77,,,,,,
TSE,,,21.914715,29.24,,25.629429,,1.904124,27.75,,0.33794692,27.75,29.88,50.14,14.16,28.54,29.24,0.545,-0.04221,11.979,0.053600002,1.08551,-3.504,2.3841722,0.00756,5.08,,0.0854,,15.521739,24.391,1.84,-0.59,0.055172414,1.6,,1.6,,0.0598
ATI,9.74,9.77,9.1214285,10.09,9.74,8.918571,9.77,1.772017,9.53,,0.3231767,9.53,9.63,24.17,4.95,9.6,10.09,0.586,-0.062179998,13.684,0.0867,1.08501,-1.855,0.7008185,0.0065200003,4.61,,0.11270001,9.77,-38.36,5.849,-0.25,4.22,,,,,,
XNCR,42.12,42.5,31.837107,43.9,42.12,35.119427,42.5,0.922519,41.62,,36.099102,41.62,43.42,43.9,19.35,43.12,43.9,22.645,-1.13398,9.974,0.0749,0.94617,-1.412,4.3132143,0.0979,17.69,,0.15890001,42.5,-24.867052,-18.653,-1.73,,,,,,,
JAX,4.78,5.15,4.5099287,5.85,4.78,4.2854285,5.15,1.471698,5.0327,,0.42570272,5.0327,5.79,11.99,3.03,5.65,5.85,0.773,-0.10655,7.024,0.0093,0.76725996,-1.494,0.827164,0.03517,1.52,,0.0109,5.15,8.3,65.645,0.7,,,,,,,
GOOS,28.73,29.06,22.539858,29.71,28.73,24.561714,29.06,1.868698,28.5502,43.162518,,28.5502,29.99,45.09,12.94,29.2,29.71,,0.14347,1.923,0.0817,1.11173,0.683,15.330214,0.00709,7.36,,0.17909999,29.06,46.0625,,0.64,2.74,,,,,,
CINR,12.28,11.21,11.317758,12.78,12.28,10.430857,11.21,1.263099,12.03,8.714777,0.5530657,12.03,12.89,19.83,9.4,12.41,12.78,1.084,0.06487,7.876,,0.09467,1.455,1.6099544,0.74489,0.01,,0.0001,11.21,4.992126,5.254,2.54,,0.08306189,1.02,0.5528,,9.22,
NRP,,11.6,12.010643,12.42,,10.828286,11.6,0.565217,11.82,,0.96486753,11.82,13.11,27.78,8.5,,12.42,4.502,-1.18981,16.644,0.004,0.37723,-18.493,0.7209806,0.21556999,1.51,,0.0069,11.6,4.2105265,6.155,2.85,,0.112500004,1.35,,1.8,11.66,0.15
BSET,,14.13,7.9210715,14.31,,11.344,14.13,1.75195,13.68,,0.35624614,13.68,15.38,18.24,4.25,14.06,14.31,0.629,-0.05545,15.225,0.0143,0.67164004,-2.206,0.9339901,0.06736,1.55,,0.0179,14.13,21.545454,51.906,0.66,-0.5,0.035714287,0.5,,0.32,2.37,0.0229
VRTV,15.8,,13.142285,16.18,15.8,16.590857,,1.91806,15.17,,0.035502378,15.17,,24.66,5.7,8.75,16.18,0.176,-0.00151,32.264,0.0437,1.01445,-0.65,0.4757625,0.0278,6.26,,0.097200006,,14.619049,9.566,1.05,0.06,,,,,,
MU,50.98,51.5,47.02064,52.17,50.98,46.968285,51.5,1.343924,49.97,25.484682,2.7839472,49.97,50.75,61.19,31.13,50.67,52.17,2.466,0.11161,34.011,0.0296,0.82306,1.991,1.4918703,0.00242,1.77,-0.044,0.0297,51.5,12.4362755,6.299,4.08,-0.93,,,,,,
ARGX,244.46,242.73,195.15443,249.98,244.46,231.62714,242.73,0.975301,242.73,,,242.73,250.95,272.74,103.75,248.58,249.98,,,11.953,0.0222,0.56487,-1.725,20.8935,,5.81,,,242.73,-21.110737,,-11.83,0.36,,,,,,
SRPT,144.03,145.22,137.43672,145.4695,144.03,146.94171,145.22,1.83612,141.72,,25.203491,141.72,145.95,,72.05,144.03,145.4695,19.945,-1.17803,13.296,0.1205,0.95521003,-6.998,10.870187,0.04816,13.45,,0.1425,145.22,-33.611626,-15.808,-4.3,120.45,,,,,,
AGLE,7.77,7.89,7.1631784,7.94,7.77,7.042,7.89,1.840782,7.46,,,7.46,8.29,11.38,3.5,5.55,7.94,,,3.414,0.061,0.57816005,-2.19,2.308143,0.04081,9.89,,0.0654,7.89,-4.635294,-1.871,-1.7,,,,,,,
TEX,21.68,21.75,17.357214,22.55,21.68,20.010857,21.75,1.680044,21.45,127.916664,0.43371782,21.45,21.57,31.28,11.54,21.56,22.55,0.611,0.0034400001,11.668,0.038900003,0.96161,0.168,1.8417895,0.040999997,4.98,,0.0519,21.75,20.273586,13.165,1.06,2.26,0.015682656,0.34,0.5763,,1.24,
LW,70.1,69.85,62.21514,70.42,70.1,63.508,69.85,0.74764,68.22,27.445782,2.6185946,68.22,68.84,96.32,39.06,68.48,70.42,3.058,0.09648,1.643,0.037,0.89447,2.49,41.594643,0.00823,6.21,,0.0551,69.85,23.1661,14.63,2.95,4.49,0.012268188,0.86,0.3454,0.92,,0.0135
IP,42.89,42.58,34.642715,43.08,42.89,37.44486,42.58,1.287068,41.99,26.134245,0.776619,41.99,42.25,47.64,26.38,41.9,43.08,1.144,0.029790001,17.952,0.0355,0.85026,1.609,2.3423574,0.00239,5.3,-0.089,0.0435,42.58,16.620554,7.221,2.53,,0.04751691,2.038,1.2655001,2.05,4.14,0.0478
HCKT,12.83,12.95,13.3466425,12.97,12.83,12.7794285,12.95,0.758639,12.46,38.459213,1.5411303,12.46,12.63,18.9,9.5,12.67,12.97,1.264,0.043449998,4.545,0.009,0.80021006,0.331,2.80088,0.17381,2.09,,0.01,12.95,13.260416,10.192,0.96,1.56,0.02143414,0.275,0.8237,0.38,1.81,0.0296
LYB,79.9,79.61,62.190857,80.05,79.9,69.78057,79.61,1.532329,78.535,13.055693,0.88084173,78.535,80.12,98.91,33.71,,80.05,1.269,0.067729995,22.041,0.014199999,0.69596,6.051,3.5842292,0.23415,2.76,-0.688,0.0186,79.61,10.618279,9.574,7.44,-3.57,0.052565705,4.2,0.6919,4.2,4.32,0.052600004
MESO,18.05,18.13,11.689714,18.25,18.05,16.907143,18.13,2.836746,17.59,,62.88137,17.59,18.08,21.28,3.12,18.1,18.25,57.588,-2.42381,4.73,0.0187,0.02095,-0.735,3.7801266,,,,,18.13,,-25.197,-0.01,-0.65,,,,,,
SALT,14.41,14.55,18.126429,14.86,14.41,14.048857,14.55,1.183946,14.08,,0.8952701,14.08,14.42,72.30483,12.27,14.4,14.86,3.87,-0.82211995,67.897,0.057600003,0.39741,-22.023,0.20943487,0.37001,2.78,,0.0783,14.55,71.1,21.112,0.2,,0.048577376,0.7,,0.2,,0.014199999
PRCP,4.45,4.42,3.5105,4.535,4.45,4.2817144,4.42,1.551282,4.24,,0.6074673,4.24,4.55,7.29,2.34,4.05,4.535,0.508,-0.16081,4.048,0.0097,0.60476,-1.128,1.0474308,0.01671,0.59,,0.0159,4.42,84.799995,25.669,0.05,-0.35,,,,,,
WIT,4.83,4.87,3.4998572,4.92,4.83,4.3405714,4.87,0.558357,4.75,19.23077,,4.75,4.8,4.92,2.52,4.74,4.92,,0.15885,1.693,0.0023,0.02365,0.247,2.8056705,,15.66,0.001,,4.87,,,0.25,2.33,0.0031055901,0.015,0.0596,,0.59,
VCEL,18.98,19.19,14.209714,19.58,18.98,16.537144,19.19,2.865105,18.6,,7.4213443,18.6,19.05,19.64,6.78,18.7,19.58,6.196,-3.0000001e-05,2.381,0.14029999,0.88875,-0.001,8.03024,0.01064,14.45,,0.1415,19.19,65.93104,723.739,0.29,,,,,,,
BHLB,10.42,10.44,12.310214,10.44,10.42,9.707429,10.44,1.230769,10.09,,1.5791664,10.09,10.38,33.72,9.03,9.8,10.44,1.072,-1.59767,22.994,0.0194,0.74612,-10.308,0.4444638,0.05037,2.06,,0.025999999,10.44,60.11765,,0.17,-0.09,0.09021113,0.94,,0.48,3.17,0.0461
NMM,6.46,6.48,7.035857,6.48,6.46,6.2845716,6.48,2.482162,6.23,,0.31572837,6.23,6.84,21.3,4.08,5.2,6.48,2.505,-0.32798,62.078,0.0109,0.24295999,-6.369,0.10084088,0.22004999,1.15,,0.0139999995,6.48,1.5194175,5.819,4.12,0.23,0.14705881,0.95,,0.2,,0.0312
DVN,9.95,9.91,10.724143,10.065,9.95,10.7865715,9.91,3.255295,9.67,,0.6393074,9.67,9.85,26.98,4.7,9.69,10.065,1.132,-0.51554,8.426,0.026600001,0.85089,-7.914,1.1606932,0.00587,1.4,,0.0304,9.91,23.853659,3.495,0.41,1.39,0.038190953,0.38,,0.44,1.61,0.0442
TRTN,40.44,40.6,30.69793,41.54,40.44,34.968285,40.6,1.70329,40.49,10.147966,2.1085987,40.49,41.16,41.54,19.8,41.14,41.54,7.124,0.24016,28.334,0.0123000005,0.66679,4.055,1.4523188,0.13864,2.12,-0.18,0.0174,40.6,7.8380957,7.991,5.25,0.99,0.051434223,2.08,0.5136,2.08,,0.0514
ARNA,70.58,71.16,57.332073,72.3,70.58,66.28543,71.16,1.265328,69.47,,890.19104,69.47,71.99,72.3,32.95,70.79,72.3,550.887,,21.583,0.0668,0.84158,-6.824,3.3012092,0.00153,8.17,,0.0669,71.16,-8.731618,-7.019,-8.16,0.46,,,,,,
AVY,128.69,128.04,112.30364,128.78,128.69,117.750854,128.04,1.13991,124.57,20.433155,1.5433459,124.57,126.01,141.09,76.96,125.33,128.78,1.764,0.07678,14.547,0.0098,0.92056,6.141,8.6258335,0.00677,1.93,-0.444,0.0112,128.04,18.89759,12.662,6.64,2.74,0.018027818,2.32,0.3766,2.32,1.94,0.018
SAGE,60.1,60.76,41.4705,62.63,60.1,52.104,60.76,2.627647,60.13,,364.4913,60.13,,166.01,25.01,61.42,62.63,243.823,,14.247,0.1452,1.0971,-11.797,4.383379,0.01831,12.32,,0.2006,60.76,-6.539267,-3.611,-9.55,-0.46,,,,,,
ATRA,15.8,,11.405071,16.08,15.8,13.398143,,2.106465,15.5,,,15.5,15.88,19.36,4.52,16.26,16.08,,,5.129,0.2054,1.07985,-4.984,3.0941703,0.02456,21.71,,0.23879999,,-3.8992627,-2.616,-4.07,,,,,,,
KAMN,46.43,46.71,41.160572,46.81,46.43,45.33457,46.71,1.039018,44.25,6.7737,1.521078,44.25,45.43,68.24,29.38,44.32,46.81,1.669,0.22642,29.046,0.025,0.90432,6.54,1.525167,0.01726,4.18,,0.0428,46.71,18.691984,10.538,2.37,2.34,0.017230239,0.8,0.5128,0.8,1.5,0.0172
SYY,68.4,68.57,54.10857,69.515,68.4,59.936287,68.57,1.209587,67.41,161.0238,0.65022004,67.41,68.02,85.98,,67.18,69.515,0.77,0.0040700003,2.28,0.0296,0.82295,0.42,29.66228,0.00239,4.45,,0.0311,68.57,22.847971,17.277,2.96,1.8,0.025438596,1.74,4.1429,1.8,2.41,0.026300002
RCEL,28.6,28.94,28.138643,29.34,28.6,24.562572,28.94,0.792168,28.69,,43.18385,28.69,29.23,55.35,,25.66,29.34,192.264,-2.9467802,,0.0091,,,,,1.7,,0.0093,28.94,,-64.961,,0.36,,,,,,
OMF,32.57,32.49,25.431572,32.82,32.57,30.132572,32.49,2.450947,31.94,6.888602,1.780379,31.94,32.85,48.92,12.21,32.2,32.82,8.045,0.26119,23.608,0.0185,0.96425,4.641,1.3542019,0.03707,2.65,-0.541,0.0326,32.49,6.4068136,,4.99,0.76,0.035615597,1.16,0.2505,3.24,,0.1
CMC,21.67,21.69,18.289072,22.15,21.67,21.317429,21.69,1.419732,21.41,8.653769,0.4704997,21.41,21.62,24.04,10.76,21.61,22.15,0.575,0.05311,15.122,0.049000002,0.89868,2.481,1.4197857,0.01303,5.83,-0.174,0.063,21.69,10.628713,4.96,2.02,-1.7,0.022150438,0.48,0.1943,0.48,2.65,0.0222
APRE,29.26,29.73,31.436428,31.395,29.26,27.869715,29.73,,29.37,,,29.37,,53.11,15.1,30.05,31.395,,,-59.908,0.0642,0.86708,-26.67,,0.12935,31.21,,0.2289,29.73,-14.854271,-10.098,-1.99,,,,,,,
AOS,53.18,53.25,45.28057,54.03,53.18,49.39343,53.25,1.197881,53.07,29.220636,3.0913444,53.07,53.26,54.19,33.81,42.42,54.03,2.747,0.10722999,10.272,0.0364,1.04517,1.822,5.183022,0.00971,6.61,-0.336,0.0497,53.25,23.557524,16.656,2.26,3.63,0.017675817,0.94,0.5165,0.96,1.35,0.018099999
BHE,21.45,21.68,20.819214,21.83,21.45,20.494,21.68,0.98272,21.1,1532.1428,0.37789196,21.1,21.46,37.36,14.06,17.38,21.83,0.307,0.00031,26.998,0.015800001,1.03169,0.014,0.79450333,0.0141900005,3.22,,0.0218,21.68,17.439024,7.058,1.23,1.92,0.028904429,0.62,20.666698,0.64,,0.0298
OLN,12.37,12.49,12.082071,12.725,12.37,11.378,12.49,1.32107,12.18,,0.3549792,12.18,13.95,19.82,8.76,13.9,12.725,1.068,-0.0414,13.866,0.045500003,1.00901,-1.469,0.91302466,0.020680001,2.4,,0.0714,12.49,-52.75,10.51,-0.24,-3.56,0.0646726,0.8,,0.8,3.8,0.0647
APAM,39.16,39.2,30.397858,39.5,39.16,38.195713,39.2,2.028985,38.4215,14.2711735,3.775647,38.4215,39.41,40.07,17.69,39.22,39.5,2.951,0.20413,1.971,0.012999999,0.83763003,2.751,19.918823,0.0497,2.19,0.178,0.019299999,39.2,11.547058,7.75,3.4,1.14,0.06664964,2.61,0.9203,2.54,7.98,0.064899996
CTS,22.22,22.56,21.308857,23.08,22.22,21.388857,22.56,0.843924,22.55,34.81032,1.7710094,22.55,22.91,34.29,17.92,22.89,23.08,1.655,0.05132,12.424,0.0191,0.94991994,0.659,1.8464264,0.02244,5.18,-0.593,0.0233,22.56,21.045872,10.302,1.09,2.73,0.0072007203,0.16,0.24239999,0.16,0.69,0.0072000003
HCSG,22.17,22.33,23.540358,22.33,22.17,22.560286,22.33,0.502229,21.58,20.555555,0.91597795,21.58,22.23,31.3,15.8,21.07,22.33,0.757,0.044650003,6.042,0.1594,1.25088,1.08,3.6742802,0.00602,18.85,0.27,0.20809999,22.33,18.347107,11.79,1.21,2.18,0.03640054,0.807,0.7431,0.81,2.17,0.0368
MLM,226.98,227.45,201.37556,229.735,226.98,213.88228,227.45,0.91583,224.1,22.623808,3.1668777,224.1,225.75,281.82,135.08,217.9,229.735,3.665,0.1407,88.14,0.036,0.99016,9.955,2.555253,0.0064600003,4.69,0.148,0.040700004,227.45,22.343254,12.648,10.08,4.77,0.0096924845,2.2,0.2211,2.28,0.89,0.01
COP,36.09,35.8,38.51386,36.45,36.09,37.433716,35.8,1.642697,35.4,17.121717,1.5327923,35.4,35.87,67.13,20.84,35.4,36.45,1.699,0.09151,29.362,0.0087,0.76333,2.095,1.221647,0.00037,1.51,-0.835,0.0087,35.8,60.79661,5.075,0.59,217.52,0.043363813,1.565,0.7625,1.68,2.93,0.0466
BKR,15.19,15.02,14.654643,15.61,15.19,15.5,15.02,1.65496,15.01,,0.7004014,15.01,15.15,25.99,9.12,15.1,15.61,0.85,-0.46028998,,0.0346,0.95335,,,0.002,6.29,,0.0714,15.02,,7.404,,29.28,,,,0.72,,0.048
PKG,112.96,112.96,96.341286,114.32,112.96,101.50286,112.96,1.216276,112.61,20.955732,1.5964339,112.61,113.28,114.78,71.05,113.18,114.32,1.732,0.076519996,33.275,0.024300002,0.94954,5.399,3.40015,0.0152199995,2.96,-0.707,0.0317,112.96,20.68373,8.781,5.47,-2.02,0.027974505,3.16,0.5852,3.16,2.9,0.027999999
SQM,34.37,34.51,26.611856,34.92,34.37,32.304573,34.51,1.069676,34.14,40.589622,5.0446963,34.14,34.68,34.92,15.2,31.76,34.92,5.19,0.1243,7.885,0.0117,0.27746,0.848,4.36525,3.0000001e-05,5.45,-0.276,,34.51,24.942028,15.937,1.38,2.12,0.014082049,0.484,0.9277,1.07,3.28,0.0312
BMRN,78.36,78.81,98.93793,79.72,78.36,91.648,78.81,0.788182,77.18,117.42603,7.7936277,77.18,79.37,131.95,62.88,76.13,79.72,7.14,0.06619,17.868,0.056799997,0.99303,0.676,4.442579,0.00495,2.88,,0.065,78.81,184.60464,134.694,0.43,0.4,,,,,,
XRAY,47.72,47.87,42.624714,48.11,47.72,44.73343,47.87,0.996098,46.22,,2.9439929,46.22,46.72,60.87,31.58,46.04,48.11,3.148,-0.01396,21.26,0.021300001,0.95953006,-0.223,2.17921,0.00357,2.47,,0.0242,47.87,21.059092,17.065,2.2,9.98,0.008382229,0.4,,0.4,0.65,0.0084
MT,13.74,13.62,10.792786,14.15,13.74,12.292,13.62,2.114457,13.5717,,0.2570641,13.5717,14.09,18.89,6.64,13.85,14.15,0.407,-0.07073,32.727,0.0069999998,0.033889998,-3.944,0.42319795,,2.09,,,13.62,11.939656,10.857,1.16,-0.04,0.014556041,0.2,,,,
NESR,7.28,7.35,6.167143,7.44,7.28,7.5284286,7.35,0.863925,7.03,17.02381,0.8491853,7.03,7.1,9.53,4.04,7.04,7.44,1.294,0.04903,10.425,0.0311,0.33631,0.42,0.68585134,0.62264,12.39,-0.072,0.104399994,7.35,9.79452,5.532,0.73,,,,,,,
CE,114.22,113.31,88.40529,114.69,114.22,103.51372,113.31,1.366778,112.75,21.737968,2.3741636,112.75,114.24,128.88,52.7,114.01,114.69,2.954,0.111269996,21.025,0.0191,0.99054,5.236,5.413555,0.008,3.15,-0.488,0.0218,113.31,12.535242,15.314,9.08,9.68,0.021712484,2.48,0.4601,2.48,1.97,0.0217
MOV,12.2,12.34,10.898214,13.17,12.2,10.92,12.34,0.661649,12.27,,0.5353892,12.27,12.79,28.78,8.12,12.8,13.17,0.423,-0.24394,16.12,0.0806,1.11154,-5.848,0.7928039,0.03979,9.18,,0.1616,12.34,8.874999,10.747,1.44,16.27,0.032786887,0.4,,,2.56,
INFY,13.67,13.57,10.222285,13.64,13.67,12.831715,13.57,0.52989,13.44,24.545454,4.4939566,13.44,13.55,13.74,6.76,13.48,13.64,4.055,0.18348,2.062,0.0127,0.17801,0.55,6.5470414,,4.32,0.022,,13.57,21.774193,16.593,0.62,3.11,0.017556693,0.24,0.4345,0.25,2.58,0.0185
VMC,133.75,132.87,115.0755,134.7,133.75,126.446,132.87,0.82107,131.33,27.98509,3.4967446,131.33,131.68,152.49,65.56,131.58,134.7,3.937,0.12597999,43.521,0.0195,0.9465,4.695,3.0190022,0.0018600001,2.77,0.063,0.0221,132.87,26.43662,15.258,4.97,3.29,0.009719626,1.3,0.2748,1.36,0.8,0.010199999
TX,19.56,19.48,15.03,20.47,19.56,17.515142,19.48,1.25641,19.48,19.59406,0.44568238,19.48,19.81,23.65,9.59,17.26,20.47,0.675,0.022739999,33.358,0.0016,0.20932,1.01,0.593261,,0.84,-0.756,,19.48,9.204651,5.338,2.15,3.06,0.061349697,1.2,1.0909,1.2,4.82,0.061300002
ATHM,96.06,96.91,80.41471,97.91,96.06,87.87086,96.91,0.984949,95.2385,29.320799,,95.2385,96.41,97.91,59.54,96.56,97.91,,0.37840998,12.96,0.0359,0.55173,3.298,7.4614196,1.0000001e-05,11.36,0.028,,96.91,19.495968,,4.96,96.97,,,0.20639999,0.77,,0.008
SSTK,52.35,52.96,40.0505,54.49,52.35,50.799427,52.96,1.168896,52.58,58.300655,3.0005386,52.58,53.63,59.45,28.76,53.51,54.49,2.271,0.05045,9.625,0.074499995,0.62299,0.918,5.5605197,0.46152002,5.76,4.755,0.1355,52.96,28.620321,27.075,1.87,1.77,0.006494747,0.34,0.3736,0.68,,0.012999999
UHS,122.03,121.31,102.684784,121.95,122.03,112.211716,121.31,1.091415,117.8,13.94796,0.88833237,117.8,119.02,151.18,65.2,118.77,121.95,1.155,0.06529,66.959,0.0156,0.98748,8.455,1.761227,0.02386,2.47,0.057,0.0197,121.31,11.26361,7.563,10.47,1.27,0.004916824,0.6,0.0708,,0.37,
BHR,2.7,2.69,2.8229287,2.81,2.7,2.5414286,2.69,2.629877,2.63,,0.25044382,2.63,2.8,10.39,1.14,2.6,2.81,3.592,-0.14122,9.499,0.0168,0.67999,-1.887,0.28318772,0.18540001,1.15,,0.0223,2.69,-1.620482,41.437,-1.66,-0.04,0.11851852,0.32,,,6.68,
NUE,48.97,48.88,41.008644,49.97,48.97,45.737427,48.88,1.472686,48.82,29.431479,0.7225655,48.82,49.2,58.7,27.53,49.19,49.97,0.813,0.024920002,33.769,0.012,0.81568,1.671,1.4563652,0.00654,1.95,-0.718,0.0138,48.88,17.50178,7.731,2.81,-3.63,0.032816008,1.607,0.9626,1.61,2.95,0.032899998
TT,124.87,124.9,97.616646,,124.87,118.22228,124.9,1.425306,122.73,,1.8443115,122.73,124.92,,,118.37,,1.966,0.06044,,0.0078,0.84126,,,0.00374,1.78,-0.476,0.0078,124.9,,13.152,,-468.14,,,0.45200002,2.12,1.88,0.017
SPXC,43.05,43.07,38.915356,43.63,43.05,42.624855,43.07,1.621516,42.9,19.367764,1.252676,42.9,43.54,53.76,25.5,43.49,43.63,1.364,0.06592,12.364,0.0106,0.91593003,2.246,3.5182788,0.01403,2.44,0.411,0.0145000005,43.07,14.451827,12.052,3.01,1.3,,,,,,
HUYA,27.56,27.55,20.027357,27.6,27.56,26.352285,27.55,1.091946,26.62,,,26.62,27.07,30.62,11.78,26.75,27.6,,0.069180004,4.096,0.0733,1.03439,-2.819,6.5600586,0.0324,5.4,0.862,,27.55,24.207207,,1.11,36.81,,,,,,
BLBD,12.61,12.72,12.695179,12.87,12.61,12.206857,12.72,1.234113,12.45,28.503399,0.36118475,12.45,13.98,23.99,8.4,12.53,12.87,0.575,0.012569999,-2.29,0.014099999,0.97196996,0.441,,0.020450002,2.71,-0.912,0.0247,12.72,8.852113,10.667,1.42,1.22,,,,,,
FF,12.1,12.2,11.907857,12.6,12.1,12.746285,12.2,1.026198,12.1699,4.841576,2.9410152,12.1699,12.52,14.87,8.75,12.51,12.6,1.33,0.60739,8.457,0.008,0.51553,2.588,1.4816129,0.41429,2.02,3.111,0.0137,12.2,15.662499,2.813,0.8,,0.01983471,0.24,0.092700005,0.24,1.88,0.0198
JBL,32.97,33.61,30.142572,34.5,32.97,33.920856,33.61,1.205128,33.12,131.05882,0.20135958,33.12,34.3,44.2,17.63,33.01,34.5,0.263,0.0014599999,10.841,0.0221,0.91483,0.255,3.0827415,0.08568,4.15,,0.0227,33.61,9.232044,4.812,3.62,1.11,0.009705792,0.32,1.28,0.32,1.21,0.0098
ALLE,103.98,104.05,100.55993,105.67,103.98,101.28543,104.05,1.130992,102.81,33.653847,3.485761,102.81,121.32,139.24,77.37,103.37,105.67,3.748,0.10483,7.346,0.0433,1.00893,3.068,14.055267,0.0034599998,6.34,-0.326,0.0552,104.05,23.627003,16.72,4.37,-61.02,0.011348335,1.18,0.3856,1.28,0.82,0.0123000005
WBA,37.21,37.21,41.93836,37.25,37.21,38.865715,37.21,0.429208,36.44,43.498234,0.23064688,36.44,36.94,64.5,33.88,36.73,37.25,0.516,0.00548,23.83,0.022,0.60613996,0.849,1.5497272,0.22248,3.24,,0.026500002,37.21,7.400802,14.287,4.99,-3.28,0.04918033,1.83,2.1529,1.87,2.48,0.050300002
COO,347.78,345.67,297.76694,352.4,347.78,312.1803,345.67,0.889632,343.95,61.8846,7.5704513,343.95,346.52,365.68,236.68,,352.4,7.405,0.113970004,76.582,0.0138,0.92912,5.598,4.523648,0.00529,2.49,-0.54,0.0176,345.67,27.407434,25.886,12.64,3.63,0.00017252285,0.06,0.0107,0.06,0.03,0.0002
MATX,41.36,41.87,32.650642,42.6,41.36,39.746857,41.87,1.215719,41.37,20.475723,0.83615696,41.37,41.79,42.6,23.75,41.38,42.6,1.29,0.041100003,18.932,0.0182,0.87098,2.039,2.205261,0.0166,3.35,0.783,0.0251,41.87,17.765959,11.705,2.35,1.26,0.021276595,0.88,0.4314,0.92,2.28,0.0222
MYL,16.16,16.16,16.030714,16.19,16.16,16.059715,16.16,1.505016,15.61,30.019083,0.7068539,15.61,15.88,23.11,12.75,15.68,16.19,1.729,0.023510002,22.722,0.0853,0.87962997,0.524,0.6922806,0.01375,9.58,,0.1096,16.16,3.3611112,5.703,4.68,1.52,,,,,,
CAMT,15.52,15.54,12.3035,15.66,15.52,15.497429,15.54,1.726867,15.06,36.398106,4.729793,15.06,15.35,16.76,6.27,15.37,15.66,3.493,0.12689,3.753,0.010199999,0.30111998,0.422,4.0927258,0.46592,3.81,-0.262,0.018099999,15.54,20.48,25.583,0.75,1.72,0.010953608,0.17,0.4048,,,
CUB,45.71,45.92,43.03486,46.02,45.71,45.619144,45.92,1.108695,44.16,,0.9443664,44.16,44.77,75.2,30.86,44.76,46.02,1.51,-0.0129700005,28.5,0.1344,1.094,-0.611,1.5568421,0.00632,9.75,,0.1879,45.92,13.445455,16.632,3.3,6.55,0.0057974183,0.265,,0.27,0.52,0.0058999998
CMP,59.01,59.53,49.389072,60.63,59.01,57.29886,59.53,1.697324,58.55,21.373253,1.3730688,58.55,59.57,66.14,34.39,59.38,60.63,2.085,0.06351,10.129,0.0692,0.96474,2.789,5.8850827,0.0067299996,11.54,,0.088599995,59.53,17.228323,9.771,3.46,0.84,0.04880529,2.88,1.0323,2.88,4.58,0.048800003
SNX,132.67,132.74,105.63207,135.07,132.67,127.601425,132.74,1.534559,132.74,14.315415,0.29018712,132.74,136.11,153.07,52.06,129.65,135.07,0.374,0.020299999,75.403,0.015,0.77858,9.283,1.7623967,0.19627,3.23,-0.502,0.0221,132.74,10.02187,7.481,13.26,1.82,0.008668124,1.15,0.1238,,1.07,
PNR,46.42,46.66,37.938858,47.13,46.42,44.99286,46.66,1.346711,46.22,23.533873,2.6703997,46.22,,47.43,22.01,46.52,47.13,2.856,0.1158,11.752,0.0115,0.90885,1.978,3.9610279,0.00254,2.01,-0.369,0.012999999,46.66,18.77016,16.135,2.48,5.41,0.015941406,0.74,0.3682,0.76,2.19,0.0164
